image_id,label_real,label_predito,justificativa,confianca,llm
IMG001,PRE_SILABICO,SILABICO_ALFABETICO,"A criança demonstra uma compreensão de que as sílabas podem ser representadas por letras, mas ainda oscila entre a escrita silábica e alfabética, apresentando algumas palavras legíveis e outras com erros. A presença de tentativas de dividir sílabas em fonemas é um indicativo dessa fase.",0.85,openai-gpt-4o-mini
IMG002,PRE_SILABICO,SILABICO_ALFABETICO,"A criança demonstra uma compreensão de que as sílabas podem ser representadas por letras, mas ainda oscila entre a escrita silábica e alfabética, apresentando algumas palavras legíveis com erros ortográficos.",0.8,openai-gpt-4o-mini
IMG003,SILABICO,SILABICO_ALFABETICO,"A criança demonstra uma compreensão de que as sílabas podem ser representadas por letras, mas ainda oscila entre a escrita silábica e alfabética, apresentando algumas palavras legíveis e outras com erros ortográficos.",0.85,openai-gpt-4o-mini
IMG004,SILABICO,SILABICO_ALFABETICO,"A criança demonstra uma compreensão de que as sílabas podem ser representadas por letras, mas ainda oscila entre a escrita silábica e alfabética, apresentando algumas palavras legíveis e outras com erros ortográficos.",0.8,openai-gpt-4o-mini
IMG005,SILABICO,SILABICO_ALFABETICO,"A criança demonstra uma compreensão de que as sílabas podem ser representadas por letras, mas ainda oscila entre a escrita silábica e a alfabética, apresentando algumas palavras que não correspondem exatamente aos sons esperados.",0.8,openai-gpt-4o-mini
IMG006,PRE_SILABICO,SILABICO_ALFABETICO,"A criança utiliza letras que representam sílabas e começa a mostrar uma compreensão de que as sílabas podem ser divididas em fonemas, embora ainda haja variações e erros na correspondência sonora.",0.8,openai-gpt-4o-mini
IMG007,SILABICO,SILABICO_ALFABETICO,"A criança demonstra uma compreensão de que as sílabas podem ser representadas por letras, mas ainda oscila entre a escrita silábica e a alfabética, apresentando algumas palavras legíveis com erros ortográficos.",0.8,openai-gpt-4o-mini
IMG008,SILABICO,ERRO,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-WSFckGAVuhDOKbIAEWtcFvNh on tokens per min (TPM): Limit 200000, Used 200000, Requested 1072. Please try again in 321ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",0.0,openai-gpt-4o-mini
IMG009,SILABICO,SILABICO,"A criança parece estabelecer uma relação entre sílabas orais e letras escritas, utilizando algumas letras que podem representar sons, mas sem uma correspondência sonora completa.",0.8,openai-gpt-4o-mini
IMG010,SILABICO,ERRO,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-WSFckGAVuhDOKbIAEWtcFvNh on tokens per min (TPM): Limit 200000, Used 200000, Requested 1072. Please try again in 321ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",0.0,openai-gpt-4o-mini
IMG011,SILABICO,SILABICO_ALFABETICO,"A criança demonstra uma compreensão de que as sílabas podem ser representadas por letras, utilizando algumas palavras legíveis e apresentando uma mistura de letras que correspondem a sons, embora ainda haja erros ortográficos.",0.8,openai-gpt-4o-mini
IMG012,SILABICO_ALFABETICO,SILABICO_ALFABETICO,"A criança demonstra uma compreensão de que as sílabas podem ser representadas por letras, mas ainda apresenta algumas inconsistências na correspondência entre sons e letras, como em 'sipri'.",0.8,openai-gpt-4o-mini
IMG013,SILABICO,ERRO,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-WSFckGAVuhDOKbIAEWtcFvNh on tokens per min (TPM): Limit 200000, Used 200000, Requested 1072. Please try again in 321ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",0.0,openai-gpt-4o-mini
IMG014,SILABICO,ERRO,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-WSFckGAVuhDOKbIAEWtcFvNh on tokens per min (TPM): Limit 200000, Used 200000, Requested 1072. Please try again in 321ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",0.0,openai-gpt-4o-mini
IMG015,SILABICO,ERRO,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-WSFckGAVuhDOKbIAEWtcFvNh on tokens per min (TPM): Limit 200000, Used 200000, Requested 1072. Please try again in 321ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",0.0,openai-gpt-4o-mini
IMG016,SILABICO_ALFABETICO,ERRO,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-WSFckGAVuhDOKbIAEWtcFvNh on tokens per min (TPM): Limit 200000, Used 200000, Requested 1072. Please try again in 321ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",0.0,openai-gpt-4o-mini
IMG017,SILABICO_ALFABETICO,ERRO,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-WSFckGAVuhDOKbIAEWtcFvNh on tokens per min (TPM): Limit 200000, Used 200000, Requested 1072. Please try again in 321ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",0.0,openai-gpt-4o-mini
