imagem,ia,modelo,prompt,classificacao,confianca,justificativa
C001_T001_IMG001.jpg,OpenAI,gpt-4o-mini,P1,SILABICO_ALFABETICO,0.8,"A escrita apresenta uma combinação de sílabas e letras isoladas, indicando uma compreensão parcial do sistema alfabético, mas ainda com características silábicas."
C001_T001_IMG001.jpg,OpenAI,gpt-4o-mini,P2,SILABICO_ALFABETICO,0.8,"A produção escrita apresenta uma combinação de letras que indicam uma tentativa de correspondência entre sílabas e grafemas. A criança parece oscilar entre a escrita silábica e a alfabética, utilizando algumas letras que correspondem a sons, mas ainda não de forma totalmente convencional."
C001_T001_IMG001.jpg,Claude,claude-sonnet-4-5-20250929,P1,SILABICO,0.85,"A criança demonstra compreensão da relação entre escrita e pauta sonora, utilizando uma letra para representar cada sílaba. Observa-se em 'AU' (possivelmente 'avião' = A-VI-ÃO, representado por AU), 'WE' (outra palavra silabicamente representada), e 'DO' + 'GUA' (provavelmente 'dado' ou 'água'). A criança está na hipótese silábica, usando letras convencionais para representar as sílabas orais das palavras, característica marcante desta fase segundo Ferreiro e Teberosky."
C001_T001_IMG001.jpg,Claude,claude-sonnet-4-5-20250929,P2,SILABICO,0.75,"A criança demonstra estabelecer relação entre escrita e pauta sonora, usando predominantemente uma letra para cada sílaba. Observa-se 'AU' (possivelmente para 'avô'), 'DO' e 'GUA' com correspondência silábica. A escrita 'WEU' e 'EAEAU' também sugerem tentativa de representação silábica, mesmo que com letras não convencionais. Há diferenciação clara entre escrita e desenho, uso de letras do alfabeto, e uma organização que indica busca por correspondência entre unidades sonoras e gráficas, característico da hipótese silábica."
C001_T001_IMG001.jpg,Gemini,models/gemini-flash-lite-latest,P1,ALFABETICO,0.85,"A criança escreve a frase 'ao neve tableau' (tentativa de 'ao ne ve tableau' ou elementos próximos com correspondência sonora estrita), havendo valor sonoro convencional para quase todas as letras e domínio do sistema alfabético, embora com aglutinações e trocas ortográficas."
C001_T001_IMG001.jpg,Gemini,models/gemini-flash-lite-latest,P2,ALFABETICO,0.85,"A criança demonstra a compreensão do princípio alfabético, escrevendo palavras de forma legível e com correspondência coerente entre fonemas e grafemas (como em 'NOVE' ou palavras associadas ao contexto), evidenciando que compreende a estrutura sonora das palavras e sua representação por letras."
C002_T001_IMG002.jpg,OpenAI,gpt-4o-mini,P1,SILABICO_ALFABETICO,0.85,"A escrita apresenta uma combinação de sílabas e letras, indicando que a criança já tem alguma noção do sistema alfabético, mas ainda não domina completamente a ortografia correta das palavras."
C002_T001_IMG002.jpg,OpenAI,gpt-4o-mini,P2,SILABICO_ALFABETICO,0.8,"A criança demonstra uma compreensão parcial da relação entre sílabas e letras, utilizando algumas letras que correspondem a sons, mas ainda apresenta inconsistências na correspondência entre grafemas e fonemas. As palavras escritas mostram uma oscilação entre a escrita silábica e a alfabética."
C002_T001_IMG002.jpg,Claude,claude-sonnet-4-5-20250929,P1,ALFABETICO,0.95,"A criança demonstra compreensão do princípio alfabético, representando todos os fonemas das palavras com grafemas correspondentes. As palavras estão escritas de forma completa e legível: 'Lápis', 'Pereira', 'Renudo' (ou 'Remudo'), 'José', 'Moleque', 'Pou' e 'articulaçau'. Apesar de alguns erros ortográficos convencionais (como 'articulaçau' ao invés de 'articulação'), a criança já superou as hipóteses silábicas e silábico-alfabéticas, conseguindo representar cada som da palavra com letras apropriadas, característica fundamental do nível alfabético."
C002_T001_IMG002.jpg,Claude,claude-sonnet-4-5-20250929,P2,ALFABETICO,0.95,"A criança demonstra compreensão do princípio alfabético, estabelecendo correspondência entre grafemas e fonemas de forma sistemática. As palavras são legíveis: 'Lapis pereira', 'Renudo' (provavelmente 'Renato' ou similar), 'doce', 'Moleço' (possivelmente 'moleque'), 'Troy' e 'articulocan' (possível tentativa de palavra complexa). Há diferenciação clara entre desenho e escrita, uso de letras convencionais, palavras segmentadas e legibilidade, mesmo com erros ortográficos característicos do nível alfabético (trocas, omissões). A escrita cursiva demonstra domínio motor e conhecimento das formas das letras."
C002_T001_IMG002.jpg,Gemini,models/gemini-flash-lite-latest,P1,ALFABETICO,0.95,"A criança escreve palavras completas com correspondência sonora quase integral, apresentando notações alfabéticas convencionais ou quase convencionais para os segmentos sonoros da fala (ex: 'lapis pereira', 'canudo', 'doce', 'macaco', 'articulacao')."
C002_T001_IMG002.jpg,Gemini,models/gemini-flash-lite-latest,P2,ALFABETICO,0.95,"A criança escreve palavras completas com correspondência sistemática entre grafemas e fonemas, contemplando todas as sílabas e sons das palavras produzidas (ex: 'lopes pereira', 'canudo', 'doce', 'macaco', 'articulacao'), demonstrando a compreensão do princípio alfabético, embora com pequenas variações gráficas próprias do traçado infantil."
C003_T001_IMG003.jpg,OpenAI,gpt-4o-mini,P1,SILABICO_ALFABETICO,0.85,"A produção apresenta uma combinação de sílabas e letras que indicam uma tentativa de representar palavras, mas ainda não segue as regras ortográficas convencionais. As palavras são formadas por sílabas, mas há uma mistura de letras que sugere um entendimento inicial do sistema alfabético."
C003_T001_IMG003.jpg,OpenAI,gpt-4o-mini,P2,SILABICO_ALFABETICO,0.8,"A produção escrita apresenta palavras que mostram uma tentativa de correspondência entre sílabas e letras, mas ainda há erros e oscilações entre a escrita silábica e alfabética. As palavras contêm grafismos que indicam uma compreensão parcial do princípio alfabético."
