image_id,filename,child_id,task_id,label,annotator,split,age,school_year,observation
IMG001,C001_T001_IMG001.jpg,C001,T001,PRE_SILABICO,A001,train,6,1º ano,
IMG002,C002_T001_IMG002.jpg,C002,T001,PRE_SILABICO,A001,train,6,1º ano,
IMG003,C003_T001_IMG003.jpg,C003,T001,SILABICO,A001,train,6,1º ano,
IMG004,C004_T001_IMG004.jpg,C004,T001,SILABICO,A001,train,6,1º ano,
IMG005,C005_T001_IMG005.jpg,C005,T001,SILABICO,A001,train,6,1º ano,
IMG006,C006_T001_IMG006.jpg,C006,T001,PRE_SILABICO,A001,train,6,1º ano,
IMG007,C007_T001_IMG007.jpg,C007,T001,SILABICO,A001,train,6,1º ano,
IMG008,C008_T001_IMG008.jpg,C008,T001,SILABICO,A001,train,6,1º ano,
IMG009,C009_T001_IMG009.jpg,C009,T001,SILABICO,A001,train,6,1º ano,
IMG010,C010_T001_IMG010.jpg,C010,T001,SILABICO,A001,train,6,1º ano,
IMG011,C011_T001_IMG011.jpg,C011,T001,SILABICO,A001,train,6,1º ano,
IMG012,C012_T001_IMG012.jpg,C012,T001,SILABICO_ALFABETICO,A001,validation,6,1º ano,
IMG013,C013_T001_IMG013.jpg,C013,T001,SILABICO,A001,validation,6,1º ano,
IMG014,C014_T001_IMG014.jpg,C014,T001,SILABICO,A001,validation,6,1º ano,
IMG015,C015_T001_IMG015.jpg,C015,T001,SILABICO,A001,validation,6,1º ano,
IMG016,C016_T001_IMG016.jpg,C016,T001,SILABICO_ALFABETICO,A001,test,6,1º ano,
IMG017,C017_T001_IMG017.jpg,C017,T001,SILABICO_ALFABETICO,A001,test,6,1º ano,
