image_id,label_real,label_predito,justificativa,confianca,llm
IMG001,PRE_SILABICO,ALFABETICO,"A criança demonstra compreensão do princípio alfabético, escrevendo palavras legíveis com correspondência entre letras e sons. Observam-se escritas como 'Bolo', 'Meu aniversário é legal', 'formiga', 'Balão' e 'Brinquedo', todas com estrutura alfabética consolidada, mesmo apresentando alguns desvios ortográficos típicos do processo de alfabetização.",0.95,claude-sonnet-4-5
IMG002,PRE_SILABICO,ALFABETICO,"A criança demonstra compreensão do princípio alfabético, escrevendo palavras com correspondência entre letras e sons. Observam-se palavras legíveis como 'MEU', 'PAI', 'LOBO', 'SÓ', 'BAMBOIO', 'DIAS', 'MEIO' com estrutura alfabética consolidada, mesmo apresentando erros ortográficos convencionais (ex: 'BAMBOIO' por 'BAMBOLÊ'). A escrita é organizada e demonstra que cada fonema é representado por uma letra.",0.95,claude-sonnet-4-5
IMG003,SILABICO,ALFABETICO,"A criança demonstra compreensão do princípio alfabético, representando cada fonema com letras correspondentes. Observam-se palavras legíveis como 'BOLA', 'BONECO', 'BIGADELO' (brigadeiro), 'SUPO' (suco), 'NOITE', 'ANIVERSARIO', 'LEGAL'. Há erros ortográficos esperados (omissão de letras, trocas), mas a escrita é decifrável e mostra correspondência fonema-grafema sistemática.",0.95,claude-sonnet-4-5
IMG004,SILABICO,ALFABETICO,"A criança demonstra compreensão do princípio alfabético, escrevendo palavras legíveis como 'BOLO', 'BRINCADEIRA', 'RORO' (possivelmente 'RODO'), 'ANIVERSARIO'. Há correspondência entre letras e fonemas, mesmo com erros ortográficos esperados (ex: 'BRINCADEIRA' sem 'N', 'ANIVERSARIO' sem acento). A presença de anotações metalinguísticas ('mostrou que sabe', 'Dívida terminação') indica reflexão sobre a escrita.",0.95,claude-sonnet-4-5
IMG005,SILABICO,ALFABETICO,"A criança demonstra compreensão do princípio alfabético, escrevendo palavras legíveis como 'BOLE' (bolo), 'MULE' (mula), 'LEBA' (zebra), 'TOEB' (bote), 'BIEL' (biel). Cada letra representa um fonema, mesmo com inversões e trocas ortográficas típicas do nível alfabético inicial. As palavras são reconhecíveis e seguem a lógica fonema-grafema.",0.95,claude-sonnet-4-5
IMG006,PRE_SILABICO,SILABICO,"A criança demonstra hipótese silábica ao escrever 'JAC' para 'Balão' (BA-LÃO), 'JDA' para 'Bolo' (BO-LO), 'J+a' para 'Presentes' (pre-SEN-tes) e 'AEAI' para 'meu aniversário'. Há correspondência entre número de letras e sílabas orais, característica central da fase silábica, embora sem correspondência sonora convencional completa.",0.85,claude-sonnet-4-5
IMG007,SILABICO,ALFABETICO,"A criança demonstra compreensão do princípio alfabético, representando cada fonema com letras correspondentes. As palavras são legíveis: 'geladeira' (refrigerante), 'motorista' (motorista), 'meu aniversário foi legal'. Apesar de erros ortográficos (geladeira por refrigerante, ausência de acentuação), há correspondência fonema-grafema sistemática e segmentação de palavras.",0.95,claude-sonnet-4-5
IMG008,SILABICO,SILABICO_ALFABETICO,"A criança demonstra oscilação entre hipótese silábica e alfabética. Em 'BOLA' (bolo) e 'JOY' (sol) usa menos letras que sílabas, indicando resquícios silábicos. Porém, em 'MANGO' (macaco), 'BIHT LO' (brigadeiro) e 'NIBILEH' (meu aniversário é legal) já apresenta análise mais detalhada dos fonemas, com várias letras por sílaba, caracterizando a transição para o alfabético.",0.85,claude-sonnet-4-5
IMG009,SILABICO,SILABICO_ALFABETICO,"A escrita apresenta características de transição entre o silábico e o alfabético. Na primeira linha 'Poli' observa-se tentativa de representação mais completa das sílabas (PO-LI). Na segunda linha, há oscilação com uso de mais letras do que seria esperado na hipótese puramente silábica, indicando que a criança começa a perceber que as sílabas contêm mais de um fonema, mas ainda não domina completamente o princípio alfabético.",0.75,claude-sonnet-4-5
IMG010,SILABICO,ALFABETICO,"A criança demonstra compreensão do princípio alfabético, representando cada fonema com letras correspondentes. As palavras são legíveis: 'sapato', 'pereira', 'canudo', 'doce', 'morango', 'Roy' (ou similar) e 'articulação'. Há correspondência sonora sistemática entre grafemas e fonemas, mesmo com alguns erros ortográficos esperados (como possíveis trocas ou omissões). A escrita é convencional e decodificável.",0.95,claude-sonnet-4-5
IMG011,SILABICO,SILABICO_ALFABETICO,"A criança demonstra oscilação entre hipótese silábica e alfabética. Observam-se tentativas de representação com algumas letras correspondendo a sílabas (ex: 'BAIA' para baleia, 'CAVO' para cavalo) e outras com maior detalhamento fonético. Há uso de letras convencionais com alguma correspondência sonora, mas ainda não completamente alfabética. A presença de palavras como 'Brigadeiro', 'Gelatina' e 'Bala' mostra evolução na compreensão do sistema alfabético, porém com simplificações típicas da transição silábico-alfabética.",0.85,claude-sonnet-4-5
IMG012,SILABICO_ALFABETICO,ALFABETICO,"A criança demonstra compreensão do princípio alfabético, escrevendo palavras legíveis com correspondência entre letras e sons. Observam-se palavras como 'bolo', 'bilulito', 'leonica', 'lerigideiro' e a frase 'Eu quero que Mina, Mae e Vilma, pra Sipri'. Apesar de erros ortográficos (ex: 'bilulito' por 'biscoito', 'leonica' por 'limonada', 'lerigideiro' por 'refrigerante'), há clara representação fonética e estruturação de palavras e frases completas, características do nível alfabético.",0.95,claude-sonnet-4-5
IMG013,SILABICO,ALFABETICO,"A criança demonstra compreensão do princípio alfabético, representando cada fonema com letras correspondentes. Observam-se palavras legíveis como 'BOLA', 'FLAMENGO', 'CHUTEIRA', 'TINHA', 'BRUGADEIRA' (brinquedeira), 'ANIVERSARIO' e 'FOI LEGAL'. Apesar de erros ortográficos (junção de palavras, omissões e trocas), há correspondência sistemática entre fonemas e grafemas, característica da hipótese alfabética.",0.95,claude-sonnet-4-5
IMG014,SILABICO,ALFABETICO,"A criança demonstra compreensão do princípio alfabético, escrevendo palavras legíveis com correspondência entre letras e sons. Observam-se escritas como 'MARIA', 'COMPROL', 'CANTERNA', 'BRi quedo', 'jornal', 'BRIGADEIRO', 'BOLO', 'CAMINHÃO', todas com estrutura alfabética clara, mesmo apresentando erros ortográficos convencionais (ex: 'CANTERNA' por lanterna, 'quedo' por quieto). A presença de letras maiúsculas e minúsculas misturadas e erros ortográficos são típicos desta fase, mas não impedem a legibilidade.",0.95,claude-sonnet-4-5
IMG015,SILABICO,ALFABETICO,"A criança demonstra compreensão do princípio alfabético, representando cada fonema com letras correspondentes. Observam-se escritas legíveis como 'Sol', 'Bolo', 'comida', 'cabudario' (vocabulário), 'mochila', 'cacna e caRicasa' (cozinha e carinhosa). Apesar de erros ortográficos esperados (troca de letras, omissões), há correspondência fonema-grafema sistemática e as palavras são reconhecíveis.",0.95,claude-sonnet-4-5
IMG016,SILABICO_ALFABETICO,SILABICO_ALFABETICO,"A criança demonstra oscilação entre hipótese silábica e alfabética. Observam-se escritas como 'VELA', 'BOLO' e 'BALÃO' com correspondência alfabética completa, enquanto outras como 'HBPRN' (brigadeiro) e 'RIGADLU' mostram características silábicas com letras que não correspondem completamente aos fonemas. A escrita de 'SOU' (sol) também indica transição, pois adiciona vogal além da estrutura silábica simples.",0.85,claude-sonnet-4-5
IMG017,SILABICO_ALFABETICO,PRE_SILABICO,"A criança utiliza predominantemente formas circulares e ovais (bolinhas) para representar a escrita, sem estabelecer correspondência entre grafemas e fonemas. As produções para 'Bolo', 'Girafa', 'Brinquedo', 'Vaca' e 'Macaco' são compostas por sequências de formas ovais sem diferenciação que reflita a estrutura sonora das palavras. Não há valor sonoro convencional nas marcas gráficas produzidas.",0.95,claude-sonnet-4-5
