image_id,filename,child_id,task_id,label,annotator,split,age,school_year,observation,imagem,ia,modelo,prompt,classificacao_ia,justificativa,confianca
IMG001,C001_T001_IMG001.jpg,C001,T001,PRE_SILABICO,A001,train,6,1º ano,,C001_T001_IMG001.jpg,openai,gpt-4o-mini,P1,ERRO,classificar_com_openai() got an unexpected keyword argument 'prompt',0.0
IMG001,C001_T001_IMG001.jpg,C001,T001,PRE_SILABICO,A001,train,6,1º ano,,C001_T001_IMG001.jpg,openai,gpt-4o-mini,P2,ERRO,classificar_com_openai() got an unexpected keyword argument 'prompt',0.0
IMG001,C001_T001_IMG001.jpg,C001,T001,PRE_SILABICO,A001,train,6,1º ano,,C001_T001_IMG001.jpg,claude,claude-sonnet-4-5,P1,ERRO,classificar_com_claude() got an unexpected keyword argument 'prompt',0.0
IMG001,C001_T001_IMG001.jpg,C001,T001,PRE_SILABICO,A001,train,6,1º ano,,C001_T001_IMG001.jpg,claude,claude-sonnet-4-5,P2,ERRO,classificar_com_claude() got an unexpected keyword argument 'prompt',0.0
IMG001,C001_T001_IMG001.jpg,C001,T001,PRE_SILABICO,A001,train,6,1º ano,,C001_T001_IMG001.jpg,gemini,models/gemini-flash-lite-latest,P1,ALFABETICO,"A criança escreve a frase convencional 'AU NOUVEAU TABLEAU' (com algumas trocas/correções como 'WEUEAU' e 'TABLEAU'), onde há correspondência estável e contínua entre grafemas e fonemas, caracterizando o nível alfabético.",0.95
IMG001,C001_T001_IMG001.jpg,C001,T001,PRE_SILABICO,A001,train,6,1º ano,,C001_T001_IMG001.jpg,gemini,models/gemini-flash-lite-latest,P2,ALFABETICO,"A criança demonstra a compreensão do sistema alfabético de escrita, fazendo correspondência entre fonemas e grafemas (por exemplo, na tentativa de escrever ""neve"" ou ""tableau/gâteau"" e ""do""). Há domínio da segmentação sonora e uso de letras adequadas aos sons da fala, mesmo com algumas inversões e marcas de tentativas ortográficas.",0.85
IMG002,C002_T001_IMG002.jpg,C002,T001,PRE_SILABICO,A001,train,6,1º ano,,C002_T001_IMG002.jpg,openai,gpt-4o-mini,P1,ERRO,classificar_com_openai() got an unexpected keyword argument 'prompt',0.0
IMG002,C002_T001_IMG002.jpg,C002,T001,PRE_SILABICO,A001,train,6,1º ano,,C002_T001_IMG002.jpg,openai,gpt-4o-mini,P2,ERRO,classificar_com_openai() got an unexpected keyword argument 'prompt',0.0
IMG002,C002_T001_IMG002.jpg,C002,T001,PRE_SILABICO,A001,train,6,1º ano,,C002_T001_IMG002.jpg,claude,claude-sonnet-4-5,P1,ERRO,classificar_com_claude() got an unexpected keyword argument 'prompt',0.0
IMG002,C002_T001_IMG002.jpg,C002,T001,PRE_SILABICO,A001,train,6,1º ano,,C002_T001_IMG002.jpg,claude,claude-sonnet-4-5,P2,ERRO,classificar_com_claude() got an unexpected keyword argument 'prompt',0.0
IMG002,C002_T001_IMG002.jpg,C002,T001,PRE_SILABICO,A001,train,6,1º ano,,C002_T001_IMG002.jpg,gemini,models/gemini-flash-lite-latest,P1,ALFABETICO,"A criança escreve palavras completas com correspondência convencional entre fonemas e grafemas (ex: 'canudo', 'doce', 'macaco', 'articulacao'), demonstrando a compreensão do sistema alfabético de escrita.",0.95
IMG002,C002_T001_IMG002.jpg,C002,T001,PRE_SILABICO,A001,train,6,1º ano,,C002_T001_IMG002.jpg,gemini,models/gemini-flash-lite-latest,P2,ALFABETICO,"A escrita apresenta correspondência quase constante entre fonemas e grafemas, com palavras legíveis correspondentes a termos como 'Lopes Pereira', 'canudo', 'doce', 'macaco' e 'articulação', demonstrando a compreensão de que cada letra representa um som e o domínio do princípio alfabético.",0.95
IMG003,C003_T001_IMG003.jpg,C003,T001,SILABICO,A001,train,6,1º ano,,C003_T001_IMG003.jpg,openai,gpt-4o-mini,P1,ERRO,classificar_com_openai() got an unexpected keyword argument 'prompt',0.0
IMG003,C003_T001_IMG003.jpg,C003,T001,SILABICO,A001,train,6,1º ano,,C003_T001_IMG003.jpg,openai,gpt-4o-mini,P2,ERRO,classificar_com_openai() got an unexpected keyword argument 'prompt',0.0
IMG003,C003_T001_IMG003.jpg,C003,T001,SILABICO,A001,train,6,1º ano,,C003_T001_IMG003.jpg,claude,claude-sonnet-4-5,P1,ERRO,classificar_com_claude() got an unexpected keyword argument 'prompt',0.0
IMG003,C003_T001_IMG003.jpg,C003,T001,SILABICO,A001,train,6,1º ano,,C003_T001_IMG003.jpg,claude,claude-sonnet-4-5,P2,ERRO,classificar_com_claude() got an unexpected keyword argument 'prompt',0.0
IMG003,C003_T001_IMG003.jpg,C003,T001,SILABICO,A001,train,6,1º ano,,C003_T001_IMG003.jpg,gemini,models/gemini-flash-lite-latest,P1,ALFABETICO,"A criança escreve palavras completas com correspondência sonora adequada entre grafemas e fonemas, como em 'BALA', 'GALATINA', 'BIHADE' e 'CARO', evidenciando o domínio do princípio alfabético.",0.95
